athlete,age,country,year,closing_ceremony_date,sport,gold,silver,bronze,total
Kim Ekdahl du Rietz,23,Sweden,2012,8/12/12,Handball,0,1,0,1
Patricia Elorza,28,Spain,2012,8/12/12,Handball,0,0,1,1
Beatriz Fern_ndez,27,Spain,2012,8/12/12,Handball,0,0,1,1
Bego_a Fern_ndez,32,Spain,2012,8/12/12,Handball,0,0,1,1
J_r_me Fernandez,35,France,2012,8/12/12,Handball,1,0,0,1
Marit Malm Frafjord,26,Norway,2012,8/12/12,Handball,1,0,0,1
Bertrand Gille,34,France,2012,8/12/12,Handball,1,0,0,1
Guillaume Gille,36,France,2012,8/12/12,Handball,1,0,0,1
Jakov Gojun,26,Croatia,2012,8/12/12,Handball,0,0,1,1
Kari Aalvik Grimsb_,27,Norway,2012,8/12/12,Handball,1,0,0,1
Micha_l Guigou,30,France,2012,8/12/12,Handball,1,0,0,1
Mattias Gustafsson,34,Sweden,2012,8/12/12,Handball,0,1,0,1
Katrine Lunde Haraldsen,32,Norway,2012,8/12/12,Handball,1,0,0,1
Camilla Herrem,25,Norway,2012,8/12/12,Handball,1,0,0,1
Samuel Honrubia,26,France,2012,8/12/12,Handball,1,0,0,1
Zlatko Horvat,27,Croatia,2012,8/12/12,Handball,0,0,1,1
Johan Jakobsson,25,Sweden,2012,8/12/12,Handball,0,1,0,1
Magnus Jernemyr,36,Sweden,2012,8/12/12,Handball,0,1,0,1
Kari Mette Johansen,33,Norway,2012,8/12/12,Handball,1,0,0,1
Guillaume Joli,27,France,2012,8/12/12,Handball,1,0,0,1
Marija Jovanovic,26,Montenegro,2012,8/12/12,Handball,0,1,0,1
Jonas K_llman,31,Sweden,2012,8/12/12,Handball,0,1,0,1
Nikola Karabatic,28,France,2012,8/12/12,Handball,1,0,0,1
Daouda Karabou_,36,France,2012,8/12/12,Handball,1,0,0,1
Tobias Karlsson,31,Sweden,2012,8/12/12,Handball,0,1,0,1
Milena Kne_evic,22,Montenegro,2012,8/12/12,Handball,0,1,0,1
Marko Kopljar,26,Croatia,2012,8/12/12,Handball,0,0,1,1
Amanda Kurtovic,21,Norway,2012,8/12/12,Handball,1,0,0,1
Bla_enko Lackovic,31,Croatia,2012,8/12/12,Handball,0,0,1,1
Jonas Larholm,30,Sweden,2012,8/12/12,Handball,0,1,0,1
Suzana Lazovic,20,Montenegro,2012,8/12/12,Handball,0,1,0,1
Marta L_pez,22,Spain,2012,8/12/12,Handball,0,0,1,1
Venio Losert,36,Croatia,2012,8/12/12,Handball,0,0,1,1
Kristine Lunde-Borgersen,32,Norway,2012,8/12/12,Handball,1,0,0,1
Heidi L_ke,29,Norway,2012,8/12/12,Handball,1,0,0,1
Marta Mangu_,29,Spain,2012,8/12/12,Handball,0,0,1,1
Carmen Mart_n,24,Spain,2012,8/12/12,Handball,0,0,1,1
Majda Mehmedovic,22,Montenegro,2012,8/12/12,Handball,0,1,0,1
Radmila Miljanic,24,Montenegro,2012,8/12/12,Handball,0,1,0,1
Daniel Narcisse,32,France,2012,8/12/12,Handball,1,0,0,1
Silvia Navarro,33,Spain,2012,8/12/12,Handball,0,0,1,1
Andreas Nilsson,22,Sweden,2012,8/12/12,Handball,0,1,0,1
Ivan Nincevic,30,Croatia,2012,8/12/12,Handball,0,0,1,1
Tonje N_stvold,27,Norway,2012,8/12/12,Handball,1,0,0,1
Thierry Omeyer,35,France,2012,8/12/12,Handball,1,0,0,1
Fredrik Petersen,28,Sweden,2012,8/12/12,Handball,0,1,0,1
Eli Pinedo,31,Spain,2012,8/12/12,Handball,0,0,1,1
Bojana Popovic,32,Montenegro,2012,8/12/12,Handball,0,1,0,1
Jova Radicevic,25,Montenegro,2012,8/12/12,Handball,0,1,0,1
Ana Radovic,25,Montenegro,2012,8/12/12,Handball,0,1,0,1
Linn-Kristin Riegelhuth Koren,27,Norway,2012,8/12/12,Handball,1,0,0,1
Maja Savic,36,Montenegro,2012,8/12/12,Handball,0,1,0,1
Johan Sj_strand,25,Sweden,2012,8/12/12,Handball,0,1,0,1
G_ril Snorroeggen,27,Norway,2012,8/12/12,Handball,1,0,0,1
C_dric Sorhaindo,28,France,2012,8/12/12,Handball,1,0,0,1
Manuel _trlek,23,Croatia,2012,8/12/12,Handball,0,0,1,1
Linn J_rum Sulland,28,Norway,2012,8/12/12,Handball,1,0,0,1
Igor Vori,31,Croatia,2012,8/12/12,Handball,0,0,1,1
Marina Vukcevic,18,Montenegro,2012,8/12/12,Handball,0,1,0,1
Drago Vukovic,28,Croatia,2012,8/12/12,Handball,0,0,1,1
Ana _okic,33,Montenegro,2012,8/12/12,Handball,0,1,0,1
Ragnhild Aamodt,27,Norway,2008,8/24/08,Handball,1,0,0,1
Luc Abalo,23,France,2008,8/24/08,Handball,1,0,0,1
Jo_l Abati,37,France,2008,8/24/08,Handball,1,0,0,1
An Jeong-Hwa,27,South Korea,2008,8/24/08,Handball,0,0,1,1
Yekaterina Andryushina,22,Russia,2008,8/24/08,Handball,0,1,0,1
Sturla _sgeirsson,28,Iceland,2008,8/24/08,Handball,0,1,0,1
Arn_r Atlason,24,Iceland,2008,8/24/08,Handball,0,1,0,1
Bae Min-Hee,20,South Korea,2008,8/24/08,Handball,0,0,1,1
David Barrufet,38,Spain,2008,8/24/08,Handball,0,0,1,1
Jon Belaustegui,29,Spain,2008,8/24/08,Handball,0,0,1,1
Inna Bliznova,21,Russia,2008,8/24/08,Handball,0,1,0,1
Karoline Dyhre Breivang,28,Norway,2008,8/24/08,Handball,1,0,0,1
C_dric Burdet,33,France,2008,8/24/08,Handball,1,0,0,1
Choi Im-Jeong,27,South Korea,2008,8/24/08,Handball,0,0,1,1
David Davis,31,Spain,2008,8/24/08,Handball,0,0,1,1
Didier Dinart,31,France,2008,8/24/08,Handball,1,0,0,1
Yelena Dmitriyeva,25,Russia,2008,8/24/08,Handball,0,1,0,1
Alberto Entrerr_os,31,Spain,2008,8/24/08,Handball,0,0,1,1
Ra_l Entrerr_os,27,Spain,2008,8/24/08,Handball,0,0,1,1
J_r_me Fernandez,31,France,2008,8/24/08,Handball,1,0,0,1
Marit Malm Frafjord,22,Norway,2008,8/24/08,Handball,1,0,0,1
Rub_n Garabaya,29,Spain,2008,8/24/08,Handball,0,0,1,1
Juan Garc_a,30,Spain,2008,8/24/08,Handball,0,0,1,1
Logi Geirsson,25,Iceland,2008,8/24/08,Handball,0,1,0,1
Bertrand Gille,30,France,2008,8/24/08,Handball,1,0,0,1
Guillaume Gille,32,France,2008,8/24/08,Handball,1,0,0,1
Olivier Girault,35,France,2008,8/24/08,Handball,1,0,0,1
Kari Aalvik Grimsb_,23,Norway,2008,8/24/08,Handball,1,0,0,1
Micha_l Guigou,26,France,2008,8/24/08,Handball,1,0,0,1
R_bert Gunnarsson,28,Iceland,2008,8/24/08,Handball,0,1,0,1
Bj_rgvin Gustavsson,23,Iceland,2008,8/24/08,Handball,0,1,0,1
Snorri Gu_j_nsson,26,Iceland,2008,8/24/08,Handball,0,1,0,1
Hrei_ar Gu_mundsson,27,Iceland,2008,8/24/08,Handball,0,1,0,1
_sgeir _rn Hallgr_msson,24,Iceland,2008,8/24/08,Handball,0,1,0,1
Gro Hammerseng,28,Norway,2008,8/24/08,Handball,1,0,0,1
Katrine Lunde Haraldsen,28,Norway,2008,8/24/08,Handball,1,0,0,1
Heo Sun-Yeong,32,South Korea,2008,8/24/08,Handball,0,0,1,1
Jos_ Javier Hombrados,36,Spain,2008,8/24/08,Handball,0,0,1,1
Hong Jeong-Ho,34,South Korea,2008,8/24/08,Handball,0,0,1,1
Ingimundur Ingimundarson,28,Iceland,2008,8/24/08,Handball,0,1,0,1
Sverre Jakobsson,31,Iceland,2008,8/24/08,Handball,0,1,0,1
Kari Mette Johansen,29,Norway,2008,8/24/08,Handball,1,0,0,1
Nikola Karabatic,24,France,2008,8/24/08,Handball,1,0,0,1
Daouda Karabou_,32,France,2008,8/24/08,Handball,1,0,0,1
Anna Kareyeva,31,Russia,2008,8/24/08,Handball,0,1,0,1
Christophe Kemp_,33,France,2008,8/24/08,Handball,1,0,0,1
Kim Cha-Yeon,27,South Korea,2008,8/24/08,Handball,0,0,1,1
Kim Nam-Sun,27,South Korea,2008,8/24/08,Handball,0,0,1,1
Kim On-A,19,South Korea,2008,8/24/08,Handball,0,0,1,1
Tonje Larsen,33,Norway,2008,8/24/08,Handball,1,0,0,1
Lee Min-Hui,28,South Korea,2008,8/24/08,Handball,0,0,1,1
Demetrio Lozano,32,Spain,2008,8/24/08,Handball,0,0,1,1
Kristine Lunde-Borgersen,28,Norway,2008,8/24/08,Handball,1,0,0,1
Cristian Malmagro,25,Spain,2008,8/24/08,Handball,0,0,1,1
Yekaterina Marennikova,26,Russia,2008,8/24/08,Handball,0,1,0,1
Mun Pil-Hui,25,South Korea,2008,8/24/08,Handball,0,0,1,1
Daniel Narcisse,28,France,2008,8/24/08,Handball,1,0,0,1
Katja Nyberg,28,Norway,2008,8/24/08,Handball,1,0,0,1
Tonje N_stvold,23,Norway,2008,8/24/08,Handball,1,0,0,1
Oh Seong-Ok,35,South Korea,2008,8/24/08,Handball,0,0,1,1
Oh Yeong-Ran,35,South Korea,2008,8/24/08,Handball,0,0,1,1
Thierry Omeyer,31,France,2008,8/24/08,Handball,1,0,0,1
Park Jeong-Hui,33,South Korea,2008,8/24/08,Handball,0,0,1,1
C_dric Paty,27,France,2008,8/24/08,Handball,1,0,0,1
Alexander Petersson,28,Iceland,2008,8/24/08,Handball,0,1,0,1
Irina Poltoratskaya,29,Russia,2008,8/24/08,Handball,0,1,0,1
Yelena Polyonova,24,Russia,2008,8/24/08,Handball,0,1,0,1
Lyudmila Postnova,23,Russia,2008,8/24/08,Handball,0,1,0,1
Carlos Prieto,28,Spain,2008,8/24/08,Handball,0,0,1,1
Linn-Kristin Riegelhuth Koren,24,Norway,2008,8/24/08,Handball,1,0,0,1
Albert Rocas,26,Spain,2008,8/24/08,Handball,0,0,1,1
Oksana Romenskaya,32,Russia,2008,8/24/08,Handball,0,1,0,1
Iker Romero,28,Spain,2008,8/24/08,Handball,0,0,1,1
Nataliya Shipilova,28,Russia,2008,8/24/08,Handball,0,1,0,1
Mariya Sidorova,28,Russia,2008,8/24/08,Handball,0,1,0,1
Gu_j_n Valur Sigur_sson,29,Iceland,2008,8/24/08,Handball,0,1,0,1
Sigf_s Sigur_sson,33,Iceland,2008,8/24/08,Handball,0,1,0,1
G_ril Snorroeggen,23,Norway,2008,8/24/08,Handball,1,0,0,1
Song Hai-Rim,23,South Korea,2008,8/24/08,Handball,0,0,1,1
_lafur Stef_nsson,35,Iceland,2008,8/24/08,Handball,0,1,0,1
Inna Suslina,29,Russia,2008,8/24/08,Handball,0,1,0,1
Else-Marthe S_rlie Lybekk,29,Norway,2008,8/24/08,Handball,1,0,0,1
V_ctor Tom_s,23,Spain,2008,8/24/08,Handball,0,0,1,1
Emiliya Turey,23,Russia,2008,8/24/08,Handball,0,1,0,1
Yana Uskova,22,Russia,2008,8/24/08,Handball,0,1,0,1
Kristine Andersen,28,Denmark,2004,8/29/04,Handball,1,0,0,1
Ivano Balic,25,Croatia,2004,8/29/04,Handball,1,0,0,1
Markus Baur,33,Germany,2004,8/29/04,Handball,0,1,0,1
Anastasiya Borodina,22,Ukraine,2004,8/29/04,Handball,0,0,1,1
Nataliya Borysenko,28,Ukraine,2004,8/29/04,Handball,0,0,1,1
Karen Br_dsgaard,26,Denmark,2004,8/29/04,Handball,1,0,0,1
Hanna Burmistrova,27,Ukraine,2004,8/29/04,Handball,0,0,1,1
Mikhail Chipurin,23,Russia,2004,8/29/04,Handball,0,0,1,1
Choi Im-Jeong,23,South Korea,2004,8/29/04,Handball,0,1,0,1
Line Daugaard,26,Denmark,2004,8/29/04,Handball,1,0,0,1
Davor Dominikovic,26,Croatia,2004,8/29/04,Handball,1,0,0,1
Mark Dragunski,33,Germany,2004,8/29/04,Handball,0,1,0,1
Mirza D_omba,27,Croatia,2004,8/29/04,Handball,1,0,0,1
Henning Fritz,29,Germany,2004,8/29/04,Handball,0,1,0,1
Katrine Fruelund,26,Denmark,2004,8/29/04,Handball,1,0,0,1
Slavko Golu_a,32,Croatia,2004,8/29/04,Handball,1,0,0,1
Aleksandr Gorbatikov,22,Russia,2004,8/29/04,Handball,0,0,1,1
Vyacheslav Gorpishin,34,Russia,2004,8/29/04,Handball,0,0,1,1
Pascal Hens,24,Germany,2004,8/29/04,Handball,0,1,0,1
Heo Sun-Yeong,28,South Korea,2004,8/29/04,Handball,0,1,0,1
Heo Yeong-Suk,29,South Korea,2004,8/29/04,Handball,0,1,0,1
Iryna Honcharova,29,Ukraine,2004,8/29/04,Handball,0,0,1,1
Rikke H_rlykke,28,Denmark,2004,8/29/04,Handball,1,0,0,1
Im O-Gyeong,32,South Korea,2004,8/29/04,Handball,0,1,0,1
Jan-Olaf Immel,28,Germany,2004,8/29/04,Handball,0,1,0,1
Vitaly Ivanov,28,Russia,2004,8/29/04,Handball,0,0,1,1
Jang So-Hui,26,South Korea,2004,8/29/04,Handball,0,1,0,1
Torsten Jansen,27,Germany,2004,8/29/04,Handball,0,1,0,1
Trine Jensen,23,Denmark,2004,8/29/04,Handball,1,0,0,1
Nik_a Kaleb,31,Croatia,2004,8/29/04,Handball,1,0,0,1
Florian Kehrmann,27,Germany,2004,8/29/04,Handball,0,1,0,1
Kim Cha-Yeon,23,South Korea,2004,8/29/04,Handball,0,1,0,1
Kim Hyeon-Ok,30,South Korea,2004,8/29/04,Handball,0,1,0,1
Lotte Ki_rskou,29,Denmark,2004,8/29/04,Handball,1,0,0,1
Eduard Koksharov,28,Russia,2004,8/29/04,Handball,0,0,1,1
Aleksey Kostygov,31,Russia,2004,8/29/04,Handball,0,0,1,1
Stefan Kretzschmar,31,Germany,2004,8/29/04,Handball,0,1,0,1
Denis Krivoshlykov,33,Russia,2004,8/29/04,Handball,0,0,1,1
Vasily Kudinov,35,Russia,2004,8/29/04,Handball,0,0,1,1
Oleg Kuleshov,30,Russia,2004,8/29/04,Handball,0,0,1,1
Bla_enko Lackovic,23,Croatia,2004,8/29/04,Handball,1,0,0,1
Andrey Lavrov,42,Russia,2004,8/29/04,Handball,0,0,1,1
Lee Gong-Ju,24,South Korea,2004,8/29/04,Handball,0,1,0,1
Lee Sang-Eun,29,South Korea,2004,8/29/04,Handball,0,1,0,1
Nataliya Liapina,28,Ukraine,2004,8/29/04,Handball,0,0,1,1
Venio Losert,28,Croatia,2004,8/29/04,Handball,1,0,0,1
Halyna Markushevska,28,Ukraine,2004,8/29/04,Handball,0,0,1,1
Valter Mato_evic,34,Croatia,2004,8/29/04,Handball,1,0,0,1
Petar Metlicic,27,Croatia,2004,8/29/04,Handball,1,0,0,1
Henriette Mikkelsen,23,Denmark,2004,8/29/04,Handball,1,0,0,1
Karin Mortensen,26,Denmark,2004,8/29/04,Handball,1,0,0,1
Mun Gyeong-Ha,24,South Korea,2004,8/29/04,Handball,0,1,0,1
Mun Pil-Hui,21,South Korea,2004,8/29/04,Handball,0,1,0,1
Myeom Bok-Hui,25,South Korea,2004,8/29/04,Handball,0,1,0,1
Louise Bager N_rgaard,22,Denmark,2004,8/29/04,Handball,1,0,0,1
Oh Seong-Ok,31,South Korea,2004,8/29/04,Handball,0,1,0,1
Oh Yeong-Ran,31,South Korea,2004,8/29/04,Handball,0,1,0,1
Klaus-Dieter Petersen,35,Germany,2004,8/29/04,Handball,0,1,0,1
Rikke Petersen-Schmidt,29,Denmark,2004,8/29/04,Handball,1,0,0,1
Sergey Pogorelov,30,Russia,2004,8/29/04,Handball,0,0,1,1
Olena Radchenko,31,Ukraine,2004,8/29/04,Handball,0,0,1,1
Oksana Raikhel,27,Ukraine,2004,8/29/04,Handball,0,0,1,1
Christian Ramota,31,Germany,2004,8/29/04,Handball,0,1,0,1
Aleksey Rastvortsev,26,Russia,2004,8/29/04,Handball,0,0,1,1
Christian Schwarzer,34,Germany,2004,8/29/04,Handball,0,1,0,1
Liudmyla Shevchenko,34,Ukraine,2004,8/29/04,Handball,0,0,1,1
Tetiana Shynkarenko,25,Ukraine,2004,8/29/04,Handball,0,0,1,1
Hanna Siukalo,27,Ukraine,2004,8/29/04,Handball,0,0,1,1
Rikke Skov,23,Denmark,2004,8/29/04,Handball,1,0,0,1
Vlado _ola,35,Croatia,2004,8/29/04,Handball,1,0,0,1
Denis _poljaric,24,Croatia,2004,8/29/04,Handball,1,0,0,1
Goran _prem,25,Croatia,2004,8/29/04,Handball,1,0,0,1
Daniel Stephan,31,Germany,2004,8/29/04,Handball,0,1,0,1
Camilla Thomsen,29,Denmark,2004,8/29/04,Handball,1,0,0,1
Dmitry Torgovanov,32,Russia,2004,8/29/04,Handball,0,0,1,1
Josephine Touray,24,Denmark,2004,8/29/04,Handball,1,0,0,1
Olena Tsyhytsia,29,Ukraine,2004,8/29/04,Handball,0,0,1,1
Aleksandr Tuchkin,40,Russia,2004,8/29/04,Handball,0,0,1,1
Maryna Verheliuk,26,Ukraine,2004,8/29/04,Handball,0,0,1,1
Mette Vestergaard,28,Denmark,2004,8/29/04,Handball,1,0,0,1
Frank von Behren,27,Germany,2004,8/29/04,Handball,0,1,0,1
Igor Vori,23,Croatia,2004,8/29/04,Handball,1,0,0,1
Drago Vukovic,21,Croatia,2004,8/29/04,Handball,1,0,0,1
Wu Seon-Hui,26,South Korea,2004,8/29/04,Handball,0,1,0,1
Olena Yatsenko,26,Ukraine,2004,8/29/04,Handball,0,0,1,1
Larysa Zaspa,32,Ukraine,2004,8/29/04,Handball,0,0,1,1
Christian Zeitz,23,Germany,2004,8/29/04,Handball,0,1,0,1
Volker Zerbe,36,Germany,2004,8/29/04,Handball,0,1,0,1
Vedran Zrnic,24,Croatia,2004,8/29/04,Handball,1,0,0,1
Camilla Andersen,27,Denmark,2000,10/1/00,Handball,1,0,0,1
Magnus Andersson,34,Sweden,2000,10/1/00,Handball,0,1,0,1
Beatrix Balogh,25,Hungary,2000,10/1/00,Handball,0,1,0,1
David Barrufet,30,Spain,2000,10/1/00,Handball,0,0,1,1
Martin Boquist,23,Sweden,2000,10/1/00,Handball,0,1,0,1
Karen Br_dsgaard,22,Denmark,2000,10/1/00,Handball,1,0,0,1
Tina B_ttzau,29,Denmark,2000,10/1/00,Handball,1,0,0,1
Rita Deli,28,Hungary,2000,10/1/00,Handball,0,1,0,1
Kristine Duvholt,26,Norway,2000,10/1/00,Handball,0,0,1,1
Talant Duyshebayev,32,Spain,2000,10/1/00,Handball,0,0,1,1
Ann-Cathrin Eriksen,29,Norway,2000,10/1/00,Handball,0,0,1,1
_gnes Farkas,27,Hungary,2000,10/1/00,Handball,0,1,0,1
Andrea Farkas,31,Hungary,2000,10/1/00,Handball,0,1,0,1
Dmitry Filippov,31,Russia,2000,10/1/00,Handball,1,0,0,1
Martin Fr_ndesj_,29,Sweden,2000,10/1/00,Handball,0,1,0,1
Mathias Franz_n,25,Sweden,2000,10/1/00,Handball,0,1,0,1
Katrine Fruelund,22,Denmark,2000,10/1/00,Handball,1,0,0,1
Mateo Garralda,30,Spain,2000,10/1/00,Handball,0,0,1,1
Peter Gentzel,31,Sweden,2000,10/1/00,Handball,0,1,0,1
Susann Goks_r-Bjerkrheim,30,Norway,2000,10/1/00,Handball,0,0,1,1
Vyacheslav Gorpishin,30,Russia,2000,10/1/00,Handball,1,0,0,1
Kjersti Grini,29,Norway,2000,10/1/00,Handball,0,0,1,1
Maja Gr_nbek,29,Denmark,2000,10/1/00,Handball,1,0,0,1
Rafael Guijosa,31,Spain,2000,10/1/00,Handball,0,0,1,1
Trine Haltvik,35,Norway,2000,10/1/00,Handball,0,0,1,1
Elisabeth Hilmo,23,Norway,2000,10/1/00,Handball,0,0,1,1
Anette Hoffmann-M_berg,29,Denmark,2000,10/1/00,Handball,1,0,0,1
Mia Hundvin,23,Norway,2000,10/1/00,Handball,0,0,1,1
Anik_ K_ntor,32,Hungary,2000,10/1/00,Handball,0,1,0,1
Oleg Khodkov,26,Russia,2000,10/1/00,Handball,1,0,0,1
Lotte Ki_rskou,25,Denmark,2000,10/1/00,Handball,1,0,0,1
Tonje Kj_rgaard,25,Denmark,2000,10/1/00,Handball,1,0,0,1
Beatrix K_k_ny,31,Hungary,2000,10/1/00,Handball,0,1,0,1
Eduard Koksharov,24,Russia,2000,10/1/00,Handball,1,0,0,1
Janne Kolling,32,Denmark,2000,10/1/00,Handball,1,0,0,1
Denis Krivoshlykov,29,Russia,2000,10/1/00,Handball,1,0,0,1
Vasily Kudinov,31,Russia,2000,10/1/00,Handball,1,0,0,1
Anita Kulcs_r,23,Hungary,2000,10/1/00,Handball,0,1,0,1
Stanislav Kulinchenko,29,Russia,2000,10/1/00,Handball,1,0,0,1
Dmitry Kuzelev,30,Russia,2000,10/1/00,Handball,1,0,0,1
Tonje Larsen,25,Norway,2000,10/1/00,Handball,0,0,1,1
Andreas Larsson,26,Sweden,2000,10/1/00,Handball,0,1,0,1
Andrey Lavrov,38,Russia,2000,10/1/00,Handball,1,0,0,1
Igor Lavrov,27,Russia,2000,10/1/00,Handball,1,0,0,1
Cecilie Leganger,25,Norway,2000,10/1/00,Handball,0,0,1,1
Ola Lindgren,36,Sweden,2000,10/1/00,Handball,0,1,0,1
Stefan L_vgren,29,Sweden,2000,10/1/00,Handball,0,1,0,1
D_ra Lowy,23,Hungary,2000,10/1/00,Handball,0,1,0,1
Demetrio Lozano,24,Spain,2000,10/1/00,Handball,0,0,1,1
Enric Massip,31,Spain,2000,10/1/00,Handball,0,0,1,1
Karin Mortensen,22,Denmark,2000,10/1/00,Handball,1,0,0,1
Anik_ Nagy,30,Hungary,2000,10/1/00,Handball,0,1,0,1
Anja Nielsen,25,Denmark,2000,10/1/00,Handball,1,0,0,1
Jeanette Nilsen,28,Norway,2000,10/1/00,Handball,0,0,1,1
Jordi Nu_ez,31,Spain,2000,10/1/00,Handball,0,0,1,1
Xavier O'Callaghan,28,Spain,2000,10/1/00,Handball,0,0,1,1
Josu Olalla,29,Spain,2000,10/1/00,Handball,0,0,1,1
Staffan Olsson,36,Sweden,2000,10/1/00,Handball,0,1,0,1
Antonio Ortega,29,Spain,2000,10/1/00,Handball,0,0,1,1
Ildik_ P_d_r,30,Hungary,2000,10/1/00,Handball,0,1,0,1
Katalin P_linger,21,Hungary,2000,10/1/00,Handball,0,1,0,1
Juan P_rez,26,Spain,2000,10/1/00,Handball,0,0,1,1
Rikke Petersen-Schmidt,25,Denmark,2000,10/1/00,Handball,1,0,0,1
Johan Pettersson,27,Sweden,2000,10/1/00,Handball,0,1,0,1
Sergey Pogorelov,26,Russia,2000,10/1/00,Handball,1,0,0,1
Bojana Radulovics,27,Hungary,2000,10/1/00,Handball,0,1,0,1
Lene Rantala,32,Denmark,2000,10/1/00,Handball,1,0,0,1
Marianne Rokne,22,Norway,2000,10/1/00,Handball,0,0,1,1
Christina Roslyng,22,Denmark,2000,10/1/00,Handball,1,0,0,1
Monica Sandve,26,Norway,2000,10/1/00,Handball,0,0,1,1
Krisztina Sepsin_ Pigniczki,24,Hungary,2000,10/1/00,Handball,0,1,0,1
Judit Simics-Zsemberi,32,Hungary,2000,10/1/00,Handball,0,1,0,1
Be_ta Siti,26,Hungary,2000,10/1/00,Handball,0,1,0,1
Tomas Sivertsson,35,Sweden,2000,10/1/00,Handball,0,1,0,1
Pavel Sukosyan,38,Russia,2000,10/1/00,Handball,1,0,0,1
Tomas Svensson,32,Sweden,2000,10/1/00,Handball,0,1,0,1
Birgitte S_ttem,22,Norway,2000,10/1/00,Handball,0,0,1,1
Else-Marthe S_rlie Lybekk,22,Norway,2000,10/1/00,Handball,0,0,1,1
Pierre Thorsson,34,Sweden,2000,10/1/00,Handball,0,1,0,1
Heidi Tjugum,27,Norway,2000,10/1/00,Handball,0,0,1,1
Dmitry Torgovanov,28,Russia,2000,10/1/00,Handball,1,0,0,1
Aleksandr Tuchkin,36,Russia,2000,10/1/00,Handball,1,0,0,1
Antonio Ugalde,24,Spain,2000,10/1/00,Handball,0,0,1,1
I_aki Urdangar_n,32,Spain,2000,10/1/00,Handball,0,0,1,1
Alberto Urdiales,31,Spain,2000,10/1/00,Handball,0,0,1,1
Mette Vestergaard,24,Denmark,2000,10/1/00,Handball,1,0,0,1
Lev Voronin,29,Russia,2000,10/1/00,Handball,1,0,0,1
Ljubomir Vranjes,26,Sweden,2000,10/1/00,Handball,0,1,0,1
Magnus Wislander,36,Sweden,2000,10/1/00,Handball,0,1,0,1
Andrei Xepkin,35,Spain,2000,10/1/00,Handball,0,0,1,1
Kseniya Afanasyeva,20,Russia,2012,8/12/12,Gymnastics,0,1,0,1
Kriszti_n Berki,27,Hungary,2012,8/12/12,Gymnastics,1,0,0,1
Diana Bulimar,16,Romania,2012,8/12/12,Gymnastics,0,0,1,1
Diana Maria Chelaru,18,Romania,2012,8/12/12,Gymnastics,0,0,1,1
Deng Linlin,20,China,2012,8/12/12,Gymnastics,1,0,0,1
Anastasiya Grishina,16,Russia,2012,8/12/12,Gymnastics,0,1,0,1
Guo Weiyang,24,China,2012,8/12/12,Gymnastics,1,0,0,1
Fabian Hamb_chen,24,Germany,2012,8/12/12,Gymnastics,0,1,0,1
He Kexin,20,China,2012,8/12/12,Gymnastics,0,1,0,1
Larisa Iordache,16,Romania,2012,8/12/12,Gymnastics,0,0,1,1
Ryohei Kato,18,Japan,2012,8/12/12,Gymnastics,0,1,0,1
Danell Leyva,20,United States,2012,8/12/12,Gymnastics,0,0,1,1
Matteo Morandi,30,Italy,2012,8/12/12,Gymnastics,0,0,1,1
Sam Oldham,19,Great Britain,2012,8/12/12,Gymnastics,0,0,1,1
Daniel Purvis,21,Great Britain,2012,8/12/12,Gymnastics,0,0,1,1
Ihor Radivilov,19,Ukraine,2012,8/12/12,Gymnastics,0,0,1,1
Kyla Ross,15,United States,2012,8/12/12,Gymnastics,1,0,0,1
Hamilton Sabot,25,France,2012,8/12/12,Gymnastics,0,0,1,1
Sui Lu,20,China,2012,8/12/12,Gymnastics,0,1,0,1
Kazuhito Tanaka,27,Japan,2012,8/12/12,Gymnastics,0,1,0,1
Yusuke Tanaka,22,Japan,2012,8/12/12,Gymnastics,0,1,0,1
Kristian Thomas,23,Great Britain,2012,8/12/12,Gymnastics,0,0,1,1
Beth Tweddle,27,Great Britain,2012,8/12/12,Gymnastics,0,0,1,1
Jordyn Wieber,17,United States,2012,8/12/12,Gymnastics,1,0,0,1
Koji Yamamuro,23,Japan,2012,8/12/12,Gymnastics,0,1,0,1
Yang Hak-Seon,19,South Korea,2012,8/12/12,Gymnastics,1,0,0,1
Arthur Zanetti,22,Brazil,2012,8/12/12,Gymnastics,1,0,0,1
Zhang Chenglong,23,China,2012,8/12/12,Gymnastics,1,0,0,1
Epke Zonderland,26,Netherlands,2012,8/12/12,Gymnastics,1,0,0,1
Andreea Acatrinei,16,Romania,2008,8/24/08,Gymnastics,0,0,1,1
Sasha Artemev,22,United States,2008,8/24/08,Gymnastics,0,0,1,1
Raj Bhavsar,27,United States,2008,8/24/08,Gymnastics,0,0,1,1
Leszek Blanik,31,Poland,2008,8/24/08,Gymnastics,1,0,0,1
Thomas Bouhail,22,France,2008,8/24/08,Gymnastics,0,1,0,1
Beno_t Caranobe,28,France,2008,8/24/08,Gymnastics,0,0,1,1
Oksana Chusovitina,33,Germany,2008,8/24/08,Gymnastics,0,1,0,1
Gervasio Deferr,27,Spain,2008,8/24/08,Gymnastics,0,1,0,1
Deng Linlin,16,China,2008,8/24/08,Gymnastics,1,0,0,1
Gabriela Dragoi,15,Romania,2008,8/24/08,Gymnastics,0,0,1,1
Anton Fokin,25,Uzbekistan,2008,8/24/08,Gymnastics,0,0,1,1
